상품명,가격,별점,리뷰 수,스펙,상품 상세 URL
레노버 씽크북 14ARP G7 R5,746000,4.5,454,노트북/ 35.5cm(14인치)/ 1.38kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 300nit/ / [CPU] AMD/ 라이젠5(Zen3+)/7535HS (3.3Hz)/ / [그래픽] 내장그래픽/Radeon 660M/ 6core/ / SSD 512GB,https://prod.danawa.com/info/?pcode=55041755&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2025 그램 프로16 16Z90TP-GA5HK,1787240,4.9,16,LG전자 2025 그램 프로16 16Z90TP-GA5HK / 노트북/ 40.6cm(16인치)/ 1.199kg/ 최대 23.5시간/ 윈도우11홈/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 400nit/ 주사율: 144Hz/ / [CPU] 인텔/ 코어 울트라5(S2)/225H (4.9GHz)/ NPU: 13TOPS/ / [그래픽] 내장그래픽/Arc 130T/ 7core/ / 노트북 LG 그램 Pro 16 애로우레이크 개봉기 / SSD 512GB,https://prod.danawa.com/info/?pcode=74007302&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 그램15 15ZD80T-GX79K 표준노트북,1726290,4.9,3002025,LG전자 그램15 15ZD80T-GX79K 표준노트북 / AI노트북/ 39.6cm(15.6인치)/ 1.29kg/ 최대 27시간/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 350nit/ 주사율: 60Hz/ / [CPU] AMD/ 라이젠AI 7/350 (5.0GHz)/ NPU: 50TOPS/ / [그래픽] 내장그래픽/Radeon 860M/ 8core/ / LG 그램과 라이젠이 만나면? 당연 최고지! LG전자 그램15 15ZD80T-GX79K [노리다] / AMD 라이젠 300 시리즈가 탑재된 LG 그램 2025 AI PC- 크라켄 포인트 노트북 / SSD 512GB,https://prod.danawa.com/info/?pcode=79554701&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
레노버 아이디어패드 Slim5 16AKP10 83HY0044KR,1464900,,,AI노트북/ 40.6cm(16인치)/ 1.69kg/ 최대 18시간/ 윈도우11홈/ / [화면] 해상도: 2880x1800(WQXGA+)/ 밝기: 500nit/ 주사율: 120Hz/ / [CPU] AMD/ 라이젠AI 7/350 (5.0GHz)/ NPU: 50TOPS/ / [그래픽] 내장그래픽/Radeon 860M/ 8core/,https://prod.danawa.com/info/?pcode=78534242&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
HP 오멘 16-ap0117AX,2249000,4.9,160117989405070,노트북/ 40.6cm(16인치)/ 2.35kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 500nit/ 주사율: 240Hz/ / [CPU] AMD/ 라이젠9(Zen4)/8940HX (5.3GHz)/ / [그래픽] 외장그래픽/ RTX5070/ TGP: 115W/,https://prod.danawa.com/info/?pcode=92545484&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS 젠북 A14 UX3407QA-SB284W,1268990,4.3,143407,AI노트북/ 35.56cm(14인치)/ 899g/ 최대 20시간/ 윈도우11홈/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 400nit/ 주사율: 60Hz/ / [CPU] 퀄컴/ 스냅드래곤 X/X1-26-100 (3.0GHz)/ NPU: 45TOPS/ / [그래픽] 내장그래픽/Adreno (1.7 TFLOPS)/ / SSD 512GB,https://prod.danawa.com/info/?pcode=75537797&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
삼성전자 갤럭시북5 프로360 NT960QHA-KC51G,2089990,4.9,5360,AI노트북/ 40.6cm(16인치)/ 1.69kg/ 윈도우11홈/ / [화면] 해상도: 2880x1800(WQXGA+)/ 밝기: 400nit/ 주사율: 120Hz/ / [CPU] 인텔/ 코어 울트라5(S2)/ 226V (4.5GHz)/ NPU: 40TOPS/ / [그래픽] 내장그래픽/Arc 130V/ 7core/ / SSD 512GB,https://prod.danawa.com/info/?pcode=68686217&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
레노버 LOQ 15AHP10 R7 5060,1498000,4.8,487,노트북/ 39.62cm(15.6인치)/ 2.4kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 300nit/ 주사율: 144Hz/ / [CPU] AMD/ 라이젠7(Zen4)/250 (5.1GHz)/ NPU: 16TOPS/ / [그래픽] 외장그래픽/ RTX5060/ TGP: 100W/ / SSD 512GB,https://prod.danawa.com/info/?pcode=96856439&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
HP 오멘 슬림 16-an0021TX 32GB램,2099000,5.0,504,HP 오멘 슬림 16-an0021TX 32GB램 / 노트북/ 40.6cm(16인치)/ 2.42kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 500nit/ 주사율: 240Hz/ / [CPU] 인텔/ 코어 울트라7(S2)/255H (5.1GHz)/ NPU: 13TOPS/ / [그래픽] 외장그래픽/ RTX5070/,https://prod.danawa.com/info/?pcode=99555338&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS Gaming V16 V3607VM-RP005,1324000,4.9,4939,노트북/ 40.6cm(16인치)/ 1.95kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 300nit/ 주사율: 144Hz/ / [CPU] 인텔/ 코어5/210H (4.8GHz)/ / [그래픽] 외장그래픽/ RTX5060/ / 노트북 배터리 빨리 닳는 이유? 백그라운드를 뒤져보세요~ / SSD 512GB,https://prod.danawa.com/info/?pcode=90890546&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
