상품명,가격,별점,리뷰 수,스펙,상품 상세 URL
LG전자 2026 그램 프로16 16Z95U-GS5WK (SSD 512GB),1921020,,,LG전자 2026 그램 프로16 16Z95U-GS5WK (SSD 512GB),https://prod.danawa.com/info/?pcode=103451483&cate1=860&cate2=869&cate3=10581&cate4=0&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81
LG전자 울트라PC 15U50T-GA5HK (SSD 512GB),828780,,,LG전자 울트라PC 15U50T-GA5HK (SSD 512GB),https://prod.danawa.com/info/?pcode=72975095&cate1=860&cate2=869&cate3=10581&cate4=0&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81
LG전자 2026 그램15 15ZD95U-GX56K (SSD 256GB),1548990,,,LG전자 2026 그램15 15ZD95U-GX56K (SSD 256GB),https://prod.danawa.com/info/?pcode=103451750&cate1=860&cate2=869&cate3=10581&cate4=0&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81
"다나와표준PC 게임용 250816 (16GB, M.2 500GB)",1789590,,,i5-14400F/RTX 5060 Ti/ (인텔) B760/ OS미포함/ 800W/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR5/ 16GB/ M.2/ 500GB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용,https://prod.danawa.com/info/?pcode=95056025&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681&adinflow=Y
"다나와표준PC 전문가용 250826 (16GB, M.2 1TB + HDD 2TB)",3980000,,,9900X3D/RTX 5070 Ti/ (AMD) X870E/ OS미포함/ 1000W/ AMD/라이젠 9000시리즈/라이젠9/그래니트 릿지/ DDR5/ 16GB/ HDD:2TB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 빅타워/ 어항형/ 수랭쿨러/ LED쿨러/ 용도: 게임용,https://prod.danawa.com/info/?pcode=95056589&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681&adinflow=Y
"다나와표준PC 게임용 250810 (16GB, M.2 512GB)",1649260,,,7500F/RTX 5060/ (AMD) B650/ OS미포함/ 750W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 16GB/ M.2/ 512GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ LED쿨러/ 용도: 게임용,https://prod.danawa.com/info/?pcode=95055290&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681&adinflow=Y
영웅컴퓨터 영웅 게이밍울트라 7546GT R5 7500F RTX5060Ti,1689780,5.0,7546,"7500F/RTX 5060 Ti/ (AMD) A620/ OS미포함/ 600W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 16GB/ M.2/ 512GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 512GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=45314390&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
포유컴퓨터 퍼포먼스PC 47 R5 7400F RTX5060Ti,1651750,4.8,47,"7400F/RTX 5060 Ti/ (AMD) B650/ OS미포함/ 700W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 16GB/ M.2/ 500GB/NVIDIA/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 500GB / 16GB, M.2 1TB / 32GB, M.2 500GB / 32GB, M.2 1TB / 16GB, M.2 1TB + HDD 2TB",https://prod.danawa.com/info/?pcode=26558177&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
삼성전자 데스크탑 Slim DM500SHA-AC51B,1415110,5.0,502,"225/인텔 그래픽스/(인텔) B860/ 윈도우11/ 300W/ 인텔/코어울트라 시리즈2/코어 울트라5/애로우레이크/ DDR5/ 16GB/ M.2/ 512GB/INTEL/ 1Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ D-SUB/ USB3.x 10Gbps/ USB C타입 5Gbps/ 파워서플라이/ 슬림/ 5.18kg/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 512GB / 16GB, M.2 1TB / 16GB, M.2 2TB",https://prod.danawa.com/info/?pcode=94088045&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
MSI MAG Codex Z2 A7NVV R7-9800X3D RTX 5080 게이밍,4178990,5.0,504,"9800X3D/RTX 5080/(AMD) B850/ OS미포함/ 850W/ AMD/라이젠 9000시리즈/라이젠7/그래니트 릿지/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 5Gbps 유선/802.11be(Wi-Fi 7) 무선/ 블루투스/ HDMI/ DP포트/ USB3.x 10Gbps/ USB3.x 5Gbps/ USB C타입 20Gbps/ USB C타입 10Gbps/ 파워서플라이/ 미들타워/ 수랭쿨러/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=101013083&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
영웅컴퓨터 영웅 게이밍울트라 7856 R7 7800X3D RTX5060,2149830,,,"7800X3D/RTX 5060/ (AMD) A620/ OS미포함/ 700W/ AMD/라이젠 7000시리즈/라이젠7/ 라파엘/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=95420654&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
영웅컴퓨터 영웅 게이밍울트라 7857 R7 7800X3D RTX5070,2619750,5.0,5014,"7800X3D/RTX 5070/ (AMD) B650/ OS미포함/ 800W/ AMD/라이젠 7000시리즈/라이젠7/ 라파엘/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 12GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=80164475&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
주연테크 긱스타 55GT02,663530,4.6,4679,"5500GT/그래픽스 7/ (AMD) B450/ OS미포함/ 500W/ AMD/라이젠 5000시리즈/라이젠5/ 세잔/ DDR4/ 16GB/ M.2/ 512GB/AMD/ 1Gbps 유선/ 파워서플라이/ 미들타워/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 512GB",https://prod.danawa.com/info/?pcode=66039917&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
주연테크 긱스타 GAMING 75F56T2,1960490,5.0,5026,"7500F/RTX 5060 Ti/ (AMD) B650/ OS미포함/ 700W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=86100728&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
모맨 겜덕피시 게이밍 i5-14400F RTX5060,2360000,,,"i5-14400F/RTX 5060/ (인텔) B760/ OS미포함/ 600W/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=94087994&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
포유컴퓨터 퍼포먼스PC 37 R5 5600 RTX5060,1198550,5.0,2,"5600/RTX 5060/ (AMD) A520/ OS미포함/ 600W/ AMD/라이젠 5000시리즈/라이젠5/ 버미어/ DDR4/ 16GB/ M.2/ 500GB/NVIDIA/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 500GB / 16GB, M.2 1TB / 16GB, M.2 1TB + 2TB / 32GB, M.2 500GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=20779784&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
APPLE 맥미니 M4 MU9D3KH/A,823500,4.8,4840,"APPLE 맥미니 M4 MU9D3KH/A / M4 10 core/ Mac OS Sequoia/애플(ARM)/M4시리즈/M4/애플 뉴럴엔진/ 16GB/ SSD/ 256GB/APPLE/ 스피커 내장형/ 1Gbps 유선/802.11ax(Wi-Fi 6E) 무선/ 블루투스/ HDMI/ DP Alt Mode/ USB3.x 10Gbps/ USB C타입 40Gbps/ USB C타입 10Gbps/ 썬더볼트4/ 미니PC/ 0.67kg/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, SSD 256GB",https://prod.danawa.com/info/?pcode=70152545&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
LG전자 27V70T-GA56K,1428450,4.9,4923,"브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 512GB / 16GB, M.2 1TB / 16GB, M.2 2TB / 32GB, M.2 512GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=75600083&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
Beelink SER9 Pro 370 해외구매,978990,5.0,5010,"해외구매/370/890M/ AMD/라이젠 300시리즈/라이젠AI 9 HX/스트릭스 포인트/AMD 라이젠 AI/50TOPS/LPDDR5X/ 32GB/AMD/ 스피커 내장형/ 2.5Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ DP포트/ USB3.x 10Gbps/ USB C타입 40Gbps/ USB C타입 10Gbps/ 마이크 내장/ DC/ 미니PC / 32GB, SSD 1TB / 64GB, SSD 1TB / 64GB, SSD 2TB",https://prod.danawa.com/info/?pcode=67623335&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91
영웅컴퓨터 영웅 게이밍울트라 9657,2439790,3.8,388,"9600X/RTX 5070/ (AMD) B650/ OS미포함/ 800W/ AMD/라이젠 9000시리즈/라이젠5/그래니트 릿지/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 12GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=87240548&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
영웅컴퓨터 영웅 울트라게이밍 007 R7 7800X3D RTX5070Ti,3099730,5.0,5011,"7800X3D/RTX 5070 Ti/ (AMD) B650/ OS미포함/ 800W/ AMD/라이젠 7000시리즈/라이젠7/ 라파엘/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=54315953&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
다나와표준PC 게임용 251211,1899990,,,"7500F/RTX 5060/ (AMD) B650/ OS미포함/ 850W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 16GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 > 다나와표준PC / 16GB, M.2 1TB",https://prod.danawa.com/info/?pcode=101543087&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681
주연테크 긱스타 GAMING 96X562,1778550,,,"9600X/RTX 5060/ (AMD) B650/ OS미포함/ 700W/ AMD/라이젠 9000시리즈/라이젠5/그래니트 릿지/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=91116530&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
STCOM STAI-V172,1709990,,4,"i5-14400F/RTX 5060 Ti/ (인텔) H610/ OS미포함/ 700W/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR4/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=94260587&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
다나와표준PC 게임용 250816,1789590,,,"i5-14400F/RTX 5060 Ti/ (인텔) B760/ OS미포함/ 800W/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR5/ 16GB/ M.2/ 500GB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 > 다나와표준PC / 16GB, M.2 500GB",https://prod.danawa.com/info/?pcode=95056025&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681
주연테크 긱스타 GAMING 96X56T2,2040580,5.0,503,"9600X/RTX 5060 Ti/ (AMD) B650/ OS미포함/ 700W/ AMD/라이젠 9000시리즈/라이젠5/그래니트 릿지/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=86100473&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
영웅컴퓨터 영웅 875 게이밍울트라560X R5 5600 RTX5060,1279780,4.8,87556016512,"5600/RTX 5060/ (AMD) B550/ OS미포함/ 600W/ AMD/라이젠 5000시리즈/라이젠5/ 버미어/ DDR4/ 16GB/ M.2/ 256GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 256GB / 16GB, M.2 512GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=13546484&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
HP 오멘 45L GT22-3002kl,7790000,1.0,101,"285K/RTX 5090/ (인텔) Z890/ OS미포함/ 1200W/ 인텔/코어울트라 시리즈2/코어 울트라9/애로우레이크/인텔 AI Boost/13TOPS/ DDR5/ 64GB/ HDD:2TB/ M.2/ 2TB/NVIDIA/ 그래픽 메모리: 32GB/ 1Gbps 유선/802.11ax(Wi-Fi 6E) 무선/ 블루투스/ HDMI/ DP포트/ USB3.x 10Gbps/ USB3.x 5Gbps/ USB C타입 10Gbps/ 파워서플라이/ 미들타워/ 22.6kg/ 수랭쿨러/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 64GB, M.2 2TB + HDD 2TB / 64GB, M.2 4TB + HDD 2TB / 64GB, M.2 8TB + HDD 2TB / 128GB, M.2 2TB + HDD 2TB",https://prod.danawa.com/info/?pcode=76375622&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
영웅컴퓨터 영웅 울트라게이밍 004 I7-14700KF RTX5070Ti,3099800,5.0,503,"i7-14700KF/RTX 5070 Ti/ (인텔) B760/ OS미포함/ 800W/ 인텔/코어 14세대/코어i7/ 랩터레이크-R/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 16GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=53392313&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
영웅컴퓨터 영웅 RL3461F i5-13400F RTX5060Ti,1639850,4.8,3461162512,"i5-13400F/RTX 5060 Ti/ (인텔) H610/ OS미포함/ 600W/ 인텔/코어 13세대/코어i5/ 랩터레이크/ DDR5/ 16GB/ M.2/ 512GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 용도: 게임용 / 영웅컴퓨터 영웅 RL3461F (16GB, M.2 512GB) 개봉 간단사용기 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 512GB / 16GB, M.2 1TB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=18711575&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
마이피씨샵 DIY 게이밍 마스터 7500F RTX5060,1578090,4.7,4723,"7500F/RTX 5060/ (AMD) A620/ OS미포함/ 600W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 16GB/ M.2/ 500GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 500GB / 16GB, M.2 1TB / 32GB, M.2 500GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=62160278&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
주연테크 굿워크 D2v56G Win11,699000,,,"5600G/그래픽스 7/ (AMD) B450/ 윈도우11/ 600W/ AMD/라이젠 5000시리즈/라이젠5/ 세잔/ DDR4/ 8GB/ M.2/ 256GB/AMD/ 1Gbps 유선/ 파워서플라이/ 미들타워/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 8GB, M.2 256GB / 16GB, M.2 256GB / 16GB, M.2 512GB",https://prod.danawa.com/info/?pcode=58030448&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
주연테크 긱스타 GAMING 75F56T,1798710,5.0,506,"7500F/RTX 5060 Ti/ (AMD) B650/ OS미포함/ 700W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 32GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=86100794&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
다나와표준PC 게임용 250719,2332000,,,"9600X/RTX 5070/(AMD) B850/ OS미포함/ 850W/ AMD/라이젠 9000시리즈/라이젠5/그래니트 릿지/ DDR5/ 16GB/ M.2/ 1TB/NVIDIA/ 그래픽 메모리: 12GB/ 1Gbps 유선/ 파워서플라이/ 미들타워/ 어항형/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 > 다나와표준PC / 16GB, M.2 1TB",https://prod.danawa.com/info/?pcode=93386711&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=11316681
타무즈 TP34 Win11Pro,741500,,,"i5-1340P/Iris Xe 그래픽스/ 윈도우11 프로/ 인텔/코어 13세대/코어i5/ 랩터레이크/ DDR5/ 8GB/ M.2/ 256GB/ 2.5Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ 듀얼랜/ HDMI/ DP포트/ USB3.x 5Gbps/ USB C타입 10Gbps/ 베사홀/ DC/ 미니PC/ 460g/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 8GB, M.2 256GB / 16GB, M.2 256GB / 16GB, M.2 512GB / 16GB, M.2 1TB / 16GB, M.2 2TB / 32GB, M.2 512GB",https://prod.danawa.com/info/?pcode=71423900&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
DELL 옵티플렉스 7020SFF i3 Win11Home,830000,,,"i3-14100/ UHD 그래픽스 730/ 윈도우11/ 180W/ 인텔/코어 14세대/코어i3/ 랩터레이크-R/ DDR5/ 8GB/ M.2/ 256GB/INTEL/ 1Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ DP포트/ USB3.x 5Gbps/ USB C타입 5Gbps/ 파워서플라이/ 슬림/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 8GB, M.2 256GB / 8GB, M.2 512GB / 8GB, M.2 1TB / 8GB, M.2 2TB / 16GB, M.2 256GB",https://prod.danawa.com/info/?pcode=86098976&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
HP 옴니데스크 M03-0029kr RTX3050 Win11Home,1499000,,,"225/ RTX 3050/ 윈도우11/ 500W/ 인텔/코어울트라 시리즈2/코어 울트라5/애로우레이크/인텔 AI Boost/13TOPS/ DDR5/ 16GB/ M.2/ 256GB/NVIDIA/ 5.1채널/ 1Gbps 유선/802.11ax(Wi-Fi 6E) 무선/ 블루투스/ HDMI/ DP포트/ USB3.x 10Gbps/ USB3.x 5Gbps/ USB C타입 10Gbps/ USB C타입 5Gbps/ 파워서플라이/ 미니타워/ 5.34kg/ 용도: 게임용/ 구성변경상품 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 256GB / 16GB, M.2 512GB / 16GB, M.2 1TB / 16GB, M.2 2TB / 32GB, M.2 512GB",https://prod.danawa.com/info/?pcode=98242853&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
HP 27-cr0015KR,1199000,,,"i5-1334U/Iris Xe 그래픽스/ 윈도우11/ 인텔/코어 13세대/코어i5/ 랩터레이크/ DDR4/ 8GB/ M.2/ 512GB/ 화면크기: 68.6cm(27인치)/ 1920x1080/ 눈부심방지/ 터치 스크린/ 광시야각/ 엘리베이션(높낮이)/ 틸트(상하)/ 스피커 내장형/ 1Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ USB3.x 5Gbps/ USB C타입 5Gbps/ 웹캠/ 마이크 내장/ DC/ 일체형/ 6.72kg/ 용도: 사무/인강용 / 브랜드PC/조립PC > 데스크탑 전체 / 8GB, M.2 512GB / 8GB, M.2 1TB / 8GB, M.2 2TB / 16GB, M.2 512GB / 16GB, M.2 1TB",https://prod.danawa.com/info/?pcode=90575702&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
삼성전자 데스크탑 Tower DM500TGZ-AD5A Win11Pro,1341000,5.0,506,"i5-14400/ UHD 730/ 윈도우11 프로/ 500W/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR5/ 8GB/ M.2/ 256GB/INTEL/ 1Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ D-SUB/ USB3.x 10Gbps/ USB C타입 5Gbps/ 파워서플라이/ 미들타워/ 용도: 사무/인강용/ 구성변경상품 / 브랜드PC/조립PC > 데스크탑 전체 / 8GB, M.2 256GB / 8GB, M.2 500GB / 8GB, M.2 512GB / 8GB, M.2 1TB / 8GB, M.2 2TB / 16GB, M.2 256GB + HDD 1TB",https://prod.danawa.com/info/?pcode=58103162&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
LG전자 B90MV-AR45S16,1564990,,,"i5-14400/ UHD 그래픽스 730/ (인텔) B760/ 윈도우11/ 500W/ 인텔/코어 14세대/코어i5/ 랩터레이크-R/ DDR5/ 16GB/ M.2/ 256GB/INTEL/ 5.1채널/ 1Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ D-SUB/ USB3.x 5Gbps/ USB C타입 5Gbps/ 파워서플라이/ 미들타워/ 용도: 사무/인강용/ 구성변경상품 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 256GB / 16GB, M.2 512GB / 16GB, M.2 1TB / 16GB, M.2 2TB / 16GB, M.2 512GB + HDD 2TB",https://prod.danawa.com/info/?pcode=94446287&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
피씨스토어 베스트 게이밍 7500F RTX5060 700W,1575180,5.0,506,"7500F/RTX 5060/ (AMD) A620/ OS미포함/ 700W/ AMD/라이젠 7000시리즈/라이젠5/ 라파엘/ DDR5/ 16GB/ M.2/ 500GB/NVIDIA/ 그래픽 메모리: 8GB/ 1Gbps 유선/ HDMI/ DP포트/ 파워서플라이/ 미들타워/ LED쿨러/ 용도: 게임용 / 브랜드PC/조립PC > 데스크탑 전체 / 16GB, M.2 500GB / 16GB, M.2 1TB / 32GB, M.2 500GB / 32GB, M.2 1TB",https://prod.danawa.com/info/?pcode=29402825&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
삼성전자 데스크탑 Tower DM500TGZ-AD7A Win11Pro,1398000,5.0,504,"i7-14700/ UHD 그래픽스 770/ 윈도우11 프로/ 500W/ 인텔/코어 14세대/코어i7/ 랩터레이크-R/ DDR5/ 8GB/ M.2/ 256GB/INTEL/ 1Gbps 유선/ 802.11ax(Wi-Fi 6) 무선/ 블루투스/ HDMI/ D-SUB/ USB3.x 10Gbps/ USB C타입 5Gbps/ 파워서플라이/ 미들타워/ 용도: 사무/인강용/ 구성변경상품 / 브랜드PC/조립PC > 데스크탑 전체 / 8GB, M.2 256GB / 8GB, M.2 500GB / 8GB, M.2 512GB / 8GB, M.2 1TB / 8GB, M.2 2TB / 16GB, M.2 256GB",https://prod.danawa.com/info/?pcode=60308063&keyword=%EB%8D%B0%EC%8A%A4%ED%81%AC%ED%83%91&cate=112756
